"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"269",269,30,"4",71,6900,"1","0","3","3","0","4","0","9","2","2","0","2",5,6,1940,1955,"1","1","12","13","2",0,"3","4","1","4","4","4","0",403,"5",125,212,740,"1","0","1","4",778,0,0,778,0,0,1,0,2,1,"3",4,"6",1,"3","5",1966,"1",1,924,"1","1","2",0,25,0,0,0,0,"0","0","0",0,2,2008,"8","4",120500
"271",271,60,"1",84,10728,"1","0","3","3","0","4","0","20","2","2","0","5",8,5,2006,2006,"1","1","12","13","2",0,"2","4","2","3","4","3","6",0,"6",0,1095,1095,"1","2","1","4",1095,844,0,1939,0,0,2,1,3,1,"2",8,"6",1,"3","1",2006,"2",3,1053,"5","5","2",192,51,0,0,0,0,"0","0","0",0,8,2006,"6","5",266000
"272",272,20,"3",73,39104,"1","0","0","2","0","1","2","4","2","2","0","2",7,7,1954,2005,"0","2","9","10","2",0,"3","4","1","3","4","2","4",226,"3",1063,96,1385,"1","0","1","4",1363,0,0,1363,1,0,1,0,2,1,"3",5,"4",2,"5","1",1954,"3",2,439,"5","5","2",81,0,0,0,0,0,"0","0","0",0,4,2008,"8","4",241500
"273",273,60,"3",92,11764,"1","0","0","3","0","1","0","13","2","2","0","5",8,7,1999,2007,"1","1","12","13","1",348,"2","4","2","3","4","4","3",524,"6",0,628,1152,"1","0","1","4",1164,1106,0,2270,0,0,2,1,4,1,"2",9,"6",1,"3","1",1999,"1",3,671,"5","5","2",132,57,0,0,0,0,"0","0","0",0,4,2010,"8","4",290000
"274",274,20,"3",80,9600,"1","0","3","3","0","4","0","12","1","2","0","2",6,6,1958,1988,"3","1","13","14","0",183,"3","4","1","4","4","4","5",620,"4",620,0,1240,"1","2","1","4",1632,0,0,1632,1,0,2,0,3,1,"3",6,"2",1,"3","1",1958,"2",1,338,"5","5","2",289,0,0,0,0,0,"0","3","0",0,4,2009,"8","4",139000
"275",275,20,"3",76,8314,"1","0","3","3","0","0","0","11","2","2","0","2",5,7,1982,1982,"1","1","6","7","2",0,"3","4","1","4","4","2","0",546,"6",0,270,816,"1","4","1","4",816,0,0,816,0,0,1,0,2,1,"3",5,"6",0,"0","1",1982,"3",1,264,"5","5","2",168,0,0,0,0,0,"0","0","0",0,6,2007,"8","4",124500
"276",276,50,"3",55,7264,"1","0","3","3","0","4","0","3","2","2","0","0",7,7,1925,2007,"1","1","13","14","2",0,"2","2","0","4","4","4","6",0,"6",0,952,952,"2","2","0","4",952,596,0,1548,0,0,2,1,3,1,"0",5,"6",0,"0","5",1978,"3",2,672,"5","5","2",74,0,0,0,144,0,"0","0","0",0,10,2009,"8","4",205000
"277",277,20,"3",129,9196,"1","0","0","3","0","4","0","11","2","2","0","2",7,5,2003,2003,"1","1","12","13","2",0,"2","4","2","1","4","4","6",0,"6",0,1560,1560,"1","0","1","4",1560,0,0,1560,0,0,2,0,3,1,"2",7,"6",0,"0","1",2003,"1",2,573,"5","5","2",100,150,0,0,0,0,"0","0","0",0,4,2010,"8","4",201000
"278",278,20,"3",140,19138,"1","0","3","3","0","0","0","8","2","2","0","2",4,5,1951,1951,"1","1","12","13","2",0,"3","4","1","4","4","4","4",120,"6",0,744,864,"1","0","1","4",864,0,0,864,0,0,1,0,2,1,"3",4,"6",0,"0","5",1951,"3",2,400,"5","5","2",0,0,0,0,0,0,"0","0","0",0,6,2010,"8","4",141000
"279",279,20,"3",107,14450,"1","0","3","3","0","4","0","15","2","2","0","2",9,5,2006,2007,"1","1","5","5","1",315,"0","4","2","1","4","2","6",0,"6",0,2121,2121,"1","0","1","4",2121,0,0,2121,0,0,2,1,3,1,"0",8,"6",1,"1","1",2007,"1",3,732,"5","5","2",124,98,0,0,142,0,"0","0","0",0,5,2007,"6","5",415298
"280",280,60,"3",83,10005,"1","0","3","3","0","4","0","4","2","2","0","5",7,5,1977,1977,"3","1","9","10","1",299,"3","4","1","3","4","4","1",392,"6",0,768,1160,"1","0","1","4",1156,866,0,2022,0,0,2,1,4,1,"3",8,"6",1,"5","1",1977,"1",2,505,"5","5","2",288,117,0,0,0,0,"0","0","0",0,3,2008,"8","4",192000
"281",281,60,"3",82,11287,"1","0","3","3","0","4","0","19","2","2","0","5",7,6,1989,1989,"1","1","9","10","1",340,"2","4","1","3","4","0","3",421,"6",0,386,807,"1","2","1","4",1175,807,0,1982,0,0,2,1,3,1,"2",7,"6",1,"5","1",1989,"1",2,575,"5","5","2",0,84,0,196,0,0,"0","0","0",0,1,2007,"8","4",228500
"282",282,20,"1",60,7200,"1","2","3","3","0","4","0","20","2","2","0","2",6,5,2006,2006,"1","1","12","13","3",68,"2","4","2","3","4","4","3",905,"6",0,357,1262,"1","2","1","4",1262,0,0,1262,0,0,2,0,2,1,"2",5,"6",0,"0","1",2006,"1",2,572,"5","5","2",0,120,0,0,0,0,"0","0","0",0,5,2006,"6","5",185000
"283",283,120,"3",34,5063,"1","0","3","3","0","4","0","15","2","2","3","2",7,5,2007,2008,"1","1","12","13","3",166,"2","4","2","3","4","4","3",904,"6",0,410,1314,"1","0","1","4",1314,0,0,1314,1,0,2,0,2,1,"2",6,"6",1,"3","1",2008,"2",2,626,"5","5","2",172,62,0,0,0,0,"0","0","0",0,4,2009,"4","4",207500
"284",284,20,"3",74,9612,"1","0","3","3","0","4","0","20","1","2","0","2",8,5,2008,2009,"1","1","12","13","3",72,"2","4","2","3","4","4","6",0,"6",0,1468,1468,"1","0","1","4",1468,0,0,1468,0,0,2,0,3,1,"2",6,"6",1,"3","1",2008,"1",3,898,"5","5","2",210,150,0,0,0,0,"0","0","0",0,12,2009,"6","5",244600
"285",285,120,"3",50,8012,"1","0","3","3","0","4","0","19","2","2","4","2",6,5,1992,1992,"1","1","9","7","2",0,"2","4","2","3","4","4","3",430,"6",0,1145,1575,"1","2","1","4",1575,0,0,1575,1,0,2,0,2,1,"2",5,"6",0,"0","1",1992,"2",2,529,"5","5","2",0,0,52,0,0,0,"0","0","0",0,7,2007,"8","4",179200
"286",286,160,"1",35,4251,"1","2","0","3","0","4","0","20","2","2","4","5",7,5,2006,2007,"1","1","8","8","2",0,"2","4","2","3","4","4","6",0,"6",0,625,625,"1","0","1","4",625,625,0,1250,0,0,2,1,2,1,"2",5,"6",0,"0","5",2006,"2",2,528,"5","5","2",0,54,0,0,0,0,"0","0","0",0,6,2007,"6","5",164700
"287",287,50,"3",77,9786,"1","0","0","0","0","4","0","12","2","2","0","0",6,7,1962,1981,"1","1","13","14","2",0,"3","4","1","4","4","4","5",600,"6",0,312,912,"1","4","1","4",1085,649,0,1734,0,0,1,1,3,1,"2",7,"6",1,"3","1",1962,"2",2,440,"5","5","2",0,0,0,0,128,0,"0","1","0",0,6,2006,"8","4",159000
"290",290,70,"3",60,8730,"1","0","3","3","0","4","0","3","6","2","0","5",6,7,1915,2003,"1","1","13","14","2",0,"3","4","0","4","4","4","6",0,"6",0,698,698,"1","0","1","0",698,698,0,1396,0,0,1,0,3,1,"3",7,"6",0,"0","5",2003,"3",1,384,"5","5","2",0,0,0,0,259,0,"0","0","0",0,7,2007,"8","4",153575
"291",291,60,"3",120,15611,"1","0","3","3","0","4","0","5","2","2","0","5",8,5,2006,2006,"1","1","12","13","2",0,"2","4","2","3","4","0","6",0,"6",0,1079,1079,"1","0","1","4",1079,840,0,1919,0,0,2,1,3,1,"2",8,"6",1,"3","1",2006,"2",2,685,"3","5","2",0,51,0,0,0,0,"0","0","0",0,7,2006,"6","5",233230
"293",293,50,"3",60,11409,"1","0","3","3","0","4","0","7","2","2","0","0",5,4,1949,2008,"1","1","13","14","2",0,"3","4","1","4","4","4","4",292,"6",0,476,768,"1","2","1","4",1148,568,0,1716,0,0,1,1,3,1,"3",8,"3",1,"3","1",1949,"3",1,281,"5","5","2",0,0,0,0,160,0,"0","0","0",0,1,2009,"8","4",131000
"295",295,20,"3",80,9600,"1","0","3","3","0","4","0","12","2","2","0","2",6,5,1953,1953,"3","1","6","6","3",238,"3","4","1","4","4","4","3",1285,"6",0,131,1416,"1","4","1","4",1644,0,0,1644,1,0,1,0,3,1,"3",7,"6",2,"3","1",1953,"1",2,418,"5","5","2",110,0,0,0,0,0,"0","0","0",0,10,2009,"8","4",167000
"296",296,80,"3",37,7937,"1","0","0","3","0","1","0","11","2","2","0","7",6,6,1984,1984,"1","1","6","6","2",0,"3","4","1","4","4","0","3",819,"6",0,184,1003,"1","4","1","4",1003,0,0,1003,1,0,1,0,3,1,"3",6,"6",0,"0","5",1984,"3",2,588,"5","5","2",120,0,0,0,0,0,"0","1","0",0,3,2006,"8","4",142500
"297",297,50,"4",75,13710,"1","0","3","3","0","4","0","9","2","2","0","0",5,5,1950,1950,"1","1","13","14","2",0,"3","4","1","4","4","4","1",420,"6",0,490,910,"1","4","1","0",910,648,0,1558,0,0,1,1,4,1,"3",6,"6",0,"0","1",1950,"3",1,282,"5","5","2",289,0,0,0,0,0,"0","3","0",0,6,2007,"8","4",152000
"298",298,60,"1",66,7399,"1","2","0","3","0","4","0","20","2","2","0","5",7,5,1997,1998,"3","1","12","13","1",1600,"2","4","2","3","4","4","1",649,"6",0,326,975,"1","0","1","4",975,975,0,1950,0,0,2,1,3,1,"2",7,"6",1,"5","5",1997,"2",2,576,"5","5","2",0,10,0,0,198,0,"0","0","0",0,6,2007,"8","4",239000
"299",299,60,"3",90,11700,"1","0","3","3","0","4","0","16","2","2","0","5",6,6,1968,1968,"4","1","6","1","1",365,"2","4","1","4","4","4","0",384,"5",175,143,702,"1","2","1","4",1041,702,0,1743,0,1,1,2,3,1,"3",7,"6",1,"3","1",1968,"3",2,539,"5","5","2",224,0,0,0,0,0,"0","0","0",0,6,2007,"8","4",175000
"300",300,20,"3",80,14000,"1","0","3","3","0","4","0","6","2","2","0","2",6,8,1950,2004,"1","1","6","6","2",0,"3","2","1","4","4","4","6",0,"6",0,1092,1092,"1","0","1","4",1152,0,0,1152,0,1,1,0,3,1,"2",6,"6",1,"3","1",1950,"3",1,300,"5","5","2",0,36,0,0,0,0,"0","1","0",0,8,2009,"8","3",158500
"301",301,190,"3",90,15750,"1","0","3","3","0","0","0","6","2","2","1","2",5,5,1953,1953,"3","1","8","8","1",56,"3","4","1","4","4","3","1",841,"6",0,324,1165,"1","4","1","4",1336,0,0,1336,1,0,1,0,2,1,"3",5,"6",2,"3","1",1953,"3",1,375,"5","5","2",0,0,0,0,0,0,"0","0","0",0,6,2006,"8","4",157000
"302",302,60,"3",66,16226,"1","0","2","3","0","4","0","5","2","2","0","5",8,5,1998,1999,"1","1","12","13","2",0,"2","4","2","3","4","4","3",281,"6",0,747,1028,"1","0","1","4",1210,1242,0,2452,0,0,2,1,4,1,"2",9,"6",1,"5","3",1998,"1",2,683,"5","5","2",208,50,0,0,0,0,"0","0","0",0,5,2007,"8","4",267000
"303",303,20,"3",118,13704,"1","0","0","3","0","0","0","5","2","2","0","2",7,5,2001,2002,"1","1","12","13","1",150,"2","4","2","3","4","4","6",0,"6",0,1541,1541,"1","0","1","4",1541,0,0,1541,0,0,2,0,3,1,"2",6,"6",1,"5","1",2001,"2",3,843,"5","5","2",468,81,0,0,0,0,"0","0","0",0,1,2006,"8","4",205000
"304",304,20,"3",70,9800,"1","0","3","3","0","0","0","5","2","2","0","2",5,7,1972,1972,"1","1","12","13","2",0,"3","4","2","4","4","4","0",894,"6",0,0,894,"1","4","1","4",894,0,0,894,1,0,1,0,3,1,"3",5,"6",0,"0","1",1975,"3",2,552,"5","5","2",256,0,0,0,0,0,"0","2","0",0,7,2006,"8","0",149900
"305",305,75,"4",87,18386,"1","0","3","3","0","4","0","17","2","2","0","3",7,9,1880,2002,"1","1","5","5","2",0,"3","4","0","4","4","4","6",0,"6",0,1470,1470,"1","0","1","4",1675,1818,0,3493,0,0,3,0,3,1,"2",10,"6",1,"1","1",2003,"3",3,870,"5","5","2",302,0,0,0,0,0,"0","0","0",0,5,2008,"8","4",295000
"306",306,20,"3",80,10386,"1","0","3","3","0","4","0","5","2","2","0","2",8,5,2004,2005,"1","1","5","5","3",246,"2","4","2","3","4","4","3",1464,"6",0,536,2000,"1","0","1","4",2000,0,0,2000,1,0,2,0,3,1,"2",8,"6",0,"0","1",2004,"1",3,888,"5","5","2",168,0,0,0,0,0,"0","0","0",0,7,2007,"8","4",305900
"307",307,60,"3",116,13474,"1","0","3","3","0","4","0","19","1","2","0","5",7,5,1990,1991,"1","1","6","10","1",246,"2","4","1","3","4","4","0",700,"6",0,0,700,"1","2","1","4",1122,1121,0,2243,1,0,2,1,4,1,"2",8,"6",1,"5","1",1990,"2",3,746,"5","5","2",127,44,224,0,0,0,"0","0","0",0,6,2007,"8","4",225000
"310",310,20,"3",90,12378,"1","0","0","3","0","4","0","15","2","2","0","2",9,5,2003,2004,"1","1","12","13","2",0,"2","4","2","1","4","2","3",1274,"6",0,622,1896,"1","0","1","4",1944,0,0,1944,1,0,2,0,3,1,"0",8,"6",3,"1","1",2003,"1",3,708,"5","5","2",208,175,0,0,0,0,"0","0","0",0,11,2006,"8","4",360000
"312",312,20,"3",50,8000,"1","0","3","3","0","4","0","12","2","2","0","2",6,6,1948,2002,"1","1","12","13","2",0,"3","2","1","4","4","4","0",680,"6",0,292,972,"1","0","1","4",972,0,0,972,1,0,1,0,2,1,"3",5,"6",1,"3","5",1948,"3",1,240,"5","5","2",0,0,0,0,0,0,"0","0","0",0,5,2009,"8","4",132000
"313",313,190,"4",65,7800,"1","0","3","3","0","4","0","17","0","2","1","0",5,7,1939,1950,"1","1","8","8","2",0,"3","4","1","3","4","3","5",507,"6",0,286,793,"1","4","1","4",793,325,0,1118,1,0,1,0,3,1,"3",5,"6",1,"3","5",1939,"3",2,410,"5","5","2",0,0,0,0,271,0,"0","3","0",0,5,2006,"8","4",119900
"314",314,20,"3",150,215245,"1","0","2","2","0","4","2","23","2","2","0","2",7,5,1965,1965,"3","1","3","3","2",0,"3","4","1","3","4","2","0",1236,"5",820,80,2136,"2","4","1","4",2036,0,0,2036,2,0,2,0,3,1,"3",8,"6",2,"3","1",1965,"2",2,513,"5","5","2",0,0,0,0,0,0,"0","0","0",0,6,2009,"8","4",375000
"315",315,70,"4",60,9600,"1","1","3","3","0","4","0","17","2","2","0","5",7,7,1925,1990,"1","1","13","14","2",0,"3","4","0","4","2","4","4",16,"6",0,712,728,"1","0","1","4",832,809,0,1641,0,1,1,1,3,1,"0",6,"6",1,"3","5",1925,"3",2,546,"2","5","2",0,0,234,0,0,0,"0","0","0",0,8,2006,"8","4",178000
"316",316,60,"3",71,7795,"1","0","0","3","0","4","0","8","2","2","0","5",7,5,2004,2005,"1","1","12","13","2",0,"2","4","2","3","4","4","3",425,"6",0,291,716,"1","0","1","4",716,716,0,1432,1,0,2,1,3,1,"2",6,"6",1,"3","1",2004,"1",2,432,"5","5","2",100,51,0,0,0,0,"0","0","0",0,7,2009,"8","4",188500
"317",317,60,"3",94,13005,"1","0","0","3","0","0","0","16","2","2","0","5",7,7,1980,1980,"1","1","5","5","1",278,"2","4","1","3","4","4","3",692,"6",0,153,845,"1","4","1","4",1153,1200,0,2353,1,0,2,1,4,1,"0",10,"6",1,"5","1",1983,"2",2,484,"5","5","2",288,195,0,0,0,0,"0","1","0",0,8,2009,"8","4",260000
"318",318,60,"1",75,9000,"1","0","3","3","0","4","0","20","2","2","0","5",8,5,2006,2006,"1","1","12","13","2",0,"2","4","2","3","4","0","6",0,"6",0,1088,1088,"1","0","1","4",1088,871,0,1959,0,0,2,1,3,1,"2",8,"6",1,"3","1",2006,"2",3,1025,"5","5","2",208,46,0,0,0,0,"0","0","0",0,12,2007,"8","4",270000
"319",319,60,"3",90,9900,"1","0","3","2","0","4","1","13","2","2","0","5",7,5,1993,1993,"1","1","6","6","1",256,"2","4","2","3","4","2","3",987,"6",0,360,1347,"1","0","1","4",1372,1274,0,2646,1,0,2,1,4,1,"2",9,"6",1,"5","1",1993,"2",3,656,"5","5","2",340,60,144,0,0,0,"0","0","0",0,4,2009,"8","4",260000
"321",321,60,"3",111,16259,"1","0","3","3","0","0","0","15","2","2","0","5",9,5,2006,2006,"1","1","12","13","3",370,"3","4","2","1","2","0","6",0,"6",0,1249,1249,"1","0","1","4",1249,1347,0,2596,0,0,3,1,4,1,"2",9,"6",0,"0","1",2006,"2",3,840,"5","5","2",240,154,0,0,0,0,"0","0","0",0,9,2006,"6","5",342643
"322",322,60,"3",99,12099,"1","0","0","3","0","4","0","15","2","2","0","5",8,5,2004,2004,"1","1","12","13","1",388,"2","4","2","1","4","0","3",970,"6",0,166,1136,"1","0","1","4",1136,1332,0,2468,1,0,2,1,4,1,"2",10,"6",1,"3","3",2004,"1",3,872,"5","5","2",184,154,0,0,0,0,"0","0","0",0,6,2007,"8","4",354000
"323",323,60,"3",86,10380,"1","0","0","3","0","4","0","19","2","2","0","5",7,5,1986,1987,"1","1","9","10","1",172,"2","4","1","4","4","2","4",28,"0",1474,0,1502,"1","0","1","4",1553,1177,0,2730,1,0,2,1,4,1,"2",8,"6",1,"5","1",1987,"1",2,576,"5","5","2",201,96,0,0,0,0,"0","3","0",0,8,2007,"8","4",301000
"324",324,20,"4",49,5820,"1","0","3","3","0","4","0","17","2","2","0","2",3,8,1955,2005,"1","1","12","13","2",0,"3","2","1","4","4","4","0",256,"6",0,906,1162,"1","0","1","4",1163,0,0,1163,1,0,1,0,3,1,"3",6,"6",0,"0","1",1955,"3",1,220,"2","5","2",142,98,0,0,0,0,"0","0","0",0,7,2006,"8","4",126175
"325",325,80,"3",96,11275,"1","0","3","3","0","0","0","12","4","2","0","7",7,7,1967,2007,"4","6","13","14","1",300,"2","2","1","3","4","4","6",0,"6",0,710,710,"1","0","1","4",1898,1080,0,2978,0,0,2,1,5,1,"2",11,"6",1,"3","3",1961,"1",2,564,"5","5","2",240,0,0,0,0,0,"0","0","0",0,6,2010,"8","4",242000
"326",326,45,"4",50,5000,"1","0","3","3","0","4","0","9","5","2","0","1",5,6,1941,1950,"1","1","8","8","2",0,"3","4","1","4","4","0","1",116,"6",0,604,720,"1","3","0","1",803,0,0,803,0,0,1,0,2,1,"3",5,"6",0,"0","5",1941,"3",2,360,"5","5","2",0,0,244,0,0,0,"0","0","0",0,12,2007,"8","4",87000
"327",327,120,"3",32,10846,"1","0","0","3","0","1","0","24","2","2","4","2",8,5,1993,1993,"1","1","3","3","2",0,"2","4","2","3","4","2","3",1619,"6",0,100,1719,"1","0","1","4",1719,0,0,1719,2,0,1,1,1,1,"2",6,"6",2,"3","1",1993,"1",2,473,"5","5","2",122,30,0,0,0,0,"0","0","0",0,5,2008,"1","4",324000
"328",328,20,"3",80,11600,"1","0","3","3","0","4","0","12","2","2","0","2",6,5,1960,1960,"3","1","13","14","1",175,"3","4","1","4","4","4","5",565,"6",0,818,1383,"1","4","1","4",1383,0,0,1383,0,0,1,1,3,1,"3",7,"6",0,"0","1",1960,"2",1,292,"5","5","2",0,45,0,0,0,0,"0","0","0",0,4,2006,"8","4",145250
"330",330,70,"4",60,6402,"1","0","3","3","0","0","0","9","2","2","0","5",5,5,1920,1950,"1","1","13","15","2",0,"3","4","2","4","4","3","6",0,"6",0,596,596,"1","4","0","4",596,596,0,1192,0,0,1,0,3,1,"3",6,"6",0,"0","5",1920,"3",1,189,"2","2","0",0,0,137,0,0,0,"0","2","0",0,7,2009,"8","4",78000
"332",332,20,"3",70,8176,"1","0","3","3","0","4","0","12","2","2","0","2",5,6,1958,1992,"1","1","13","14","2",0,"3","4","1","4","4","4","5",846,"6",0,210,1056,"1","1","1","4",1056,0,0,1056,1,0,1,0,3,1,"3",6,"6",0,"0","1",1958,"2",1,308,"5","5","2",0,0,0,0,0,0,"0","0","0",0,8,2007,"8","4",139000
"333",333,20,"3",85,10655,"1","0","0","3","0","4","0","15","2","2","0","2",8,5,2003,2004,"1","1","12","13","1",296,"2","4","2","3","4","4","3",1124,"2",479,1603,3206,"1","0","1","4",1629,0,0,1629,1,0,2,0,3,1,"2",7,"6",1,"3","1",2003,"2",3,880,"5","5","2",0,0,0,0,0,0,"0","0","0",0,10,2009,"8","4",284000
"334",334,120,"4",59,8198,"1","0","3","3","0","3","0","15","2","2","4","2",7,5,2004,2004,"1","1","12","13","3",146,"2","4","2","3","4","0","3",720,"6",0,638,1358,"1","0","1","4",1358,0,0,1358,1,0,2,0,2,1,"2",6,"6",1,"3","1",2004,"2",2,484,"5","5","2",192,30,0,0,0,0,"0","0","0",0,7,2008,"8","4",207000
"335",335,60,"3",59,9042,"1","0","0","3","0","4","0","8","2","2","0","5",6,5,1998,1998,"1","1","12","13","2",0,"3","4","2","3","4","2","3",828,"6",0,115,943,"1","2","1","4",943,695,0,1638,1,0,2,1,3,1,"3",7,"6",2,"5","1",1998,"1",2,472,"5","5","2",100,38,0,0,0,0,"0","0","0",0,7,2008,"8","4",192000
"337",337,20,"3",86,14157,"1","0","0","1","0","0","0","21","2","2","0","2",9,5,2005,2006,"3","1","12","13","3",200,"2","4","2","1","4","2","3",1249,"6",0,673,1922,"1","0","1","4",1922,0,0,1922,1,0,2,0,3,1,"2",8,"6",1,"3","1",2005,"1",3,676,"5","5","2",178,51,0,0,0,0,"0","0","0",0,7,2007,"8","4",377426
"338",338,20,"3",70,9135,"1","0","3","3","0","4","0","5","2","2","0","2",7,5,2002,2003,"1","1","12","13","1",113,"2","4","2","3","4","0","3",810,"6",0,726,1536,"1","0","1","4",1536,0,0,1536,1,0,2,0,3,1,"2",7,"6",0,"0","1",2002,"2",2,532,"5","5","2",192,74,0,0,0,0,"0","0","0",0,12,2008,"8","4",214000
"339",339,20,"3",91,14145,"1","0","3","3","0","0","0","16","2","2","0","2",7,7,1984,1998,"1","1","13","14","2",0,"2","4","1","3","4","3","0",213,"6",0,995,1208,"1","0","1","4",1621,0,0,1621,1,0,2,0,3,1,"2",8,"6",0,"0","1",1984,"2",2,440,"5","5","2",108,45,0,0,0,0,"0","0","3",400,5,2006,"8","4",202500
"340",340,20,"3",66,12400,"1","0","0","3","0","4","0","12","1","2","0","2",6,7,1958,1998,"3","1","13","14","1",176,"3","4","1","4","1","4","5",585,"6",0,630,1215,"1","4","1","0",1215,0,0,1215,0,0,1,0,3,1,"3",6,"6",0,"0","1",1958,"3",1,297,"5","5","2",0,0,0,0,234,0,"0","0","0",0,6,2009,"8","4",155000
"341",341,60,"3",85,14191,"1","0","3","3","0","4","0","23","2","2","0","5",8,5,2002,2002,"1","1","12","13","2",0,"2","4","2","3","4","4","6",0,"6",0,967,967,"1","0","1","4",993,915,0,1908,0,0,2,1,4,1,"2",9,"6",0,"0","1",2002,"1",2,431,"5","5","2",135,0,0,0,0,0,"0","0","0",0,4,2010,"8","4",202900
"342",342,20,"2",60,8400,"1","0","3","3","0","4","0","19","1","2","0","2",4,4,1950,1950,"1","1","13","0","2",0,"1","1","1","4","1","4","6",0,"6",0,721,721,"1","2","1","4",841,0,0,841,0,0,1,0,2,1,"3",4,"6",0,"0","4",1950,"3",1,294,"5","5","0",250,0,24,0,0,0,"0","0","0",0,9,2009,"8","4",82000
"344",344,120,"3",63,8849,"1","0","0","3","0","4","0","15","2","2","4","2",9,5,2005,2005,"3","1","8","8","1",616,"0","4","2","1","4","4","3",28,"6",0,1656,1684,"1","0","1","4",1684,0,0,1684,0,0,2,0,2,1,"0",6,"6",1,"1","1",2005,"2",2,564,"5","5","2",495,72,0,0,0,0,"0","0","0",0,7,2008,"8","4",266000
"345",345,160,"4",36,2592,"1","0","3","3","0","4","0","10","2","2","4","5",5,3,1976,1976,"1","1","5","5","2",0,"3","4","1","3","4","4","5",129,"1",232,175,536,"1","4","1","4",536,576,0,1112,0,0,1,1,3,1,"3",4,"6",0,"0","1",1976,"3",1,336,"5","5","2",182,0,0,0,0,0,"0","0","0",0,4,2010,"8","4",85000
"346",346,50,"3",65,6435,"1","0","3","3","0","4","0","3","6","2","0","0",6,5,1939,1950,"1","1","8","8","2",0,"3","4","0","4","4","4","6",0,"6",0,972,972,"1","2","1","4",972,605,0,1577,0,0,1,0,3,1,"1",6,"6",1,"3","5",1939,"3",1,312,"5","5","2",0,0,0,0,0,0,"0","0","0",0,10,2006,"8","4",140200
"349",349,160,"3",36,2448,"1","0","3","3","0","4","0","15","2","2","3","5",7,5,2003,2004,"1","1","12","15","3",106,"2","4","2","3","4","4","3",573,"6",0,191,764,"1","0","1","4",764,862,0,1626,1,0,2,1,2,1,"2",6,"6",0,"0","3",2003,"2",2,474,"5","5","2",0,27,0,0,0,0,"0","0","0",0,10,2008,"8","4",154000
"350",350,60,"3",56,20431,"1","0","1","3","0","4","0","15","2","2","0","5",9,5,2005,2006,"3","1","5","5","1",870,"0","4","2","1","4","4","3",1410,"6",0,438,1848,"1","0","1","4",1848,880,0,2728,1,0,2,1,4,1,"0",10,"6",2,"1","1",2006,"1",3,706,"5","5","2",0,0,0,0,0,0,"0","0","0",0,4,2006,"6","5",437154
"351",351,120,"3",68,7820,"1","0","0","3","0","4","0","15","2","2","4","2",9,5,2007,2007,"3","1","8","8","1",362,"0","4","2","1","4","4","6",0,"6",0,1869,1869,"1","0","1","4",1869,0,0,1869,0,0,2,0,2,1,"0",6,"6",1,"3","1",2007,"2",2,617,"5","5","2",210,54,0,0,0,0,"0","0","0",0,12,2007,"6","5",318061
"353",353,50,"3",60,9084,"1","0","3","3","0","4","0","7","0","2","0","0",5,6,1941,1950,"1","1","12","13","2",0,"3","4","1","4","1","3","4",236,"5",380,0,616,"1","4","0","4",616,495,0,1111,0,1,1,0,3,1,"3",5,"6",0,"0","5",1941,"3",1,200,"5","2","2",48,0,0,0,0,0,"0","0","0",0,3,2008,"4","4",95000
"354",354,30,"4",60,8520,"1","0","3","3","0","4","0","17","2","2","0","2",6,8,1928,2003,"1","1","12","13","2",0,"3","2","0","4","4","4","6",0,"6",0,624,624,"1","2","1","4",720,0,0,720,0,0,1,0,2,1,"3",5,"6",0,"0","5",2005,"3",2,484,"5","5","2",106,0,0,0,0,0,"0","0","0",0,5,2010,"8","4",105900
"355",355,50,"3",60,8400,"1","0","3","0","0","4","0","22","2","2","0","0",6,5,1940,2000,"1","1","13","8","2",0,"3","4","1","4","4","4","4",388,"6",0,552,940,"1","0","1","4",1192,403,0,1595,0,0,1,0,2,1,"3",6,"6",2,"3","1",1940,"3",1,240,"5","5","2",0,0,108,0,0,0,"0","0","0",0,6,2006,"8","4",140000
"356",356,20,"3",105,11249,"1","0","1","3","0","4","0","5","2","2","0","2",6,5,1995,1995,"1","1","12","13","2",0,"2","2","2","3","2","4","0",334,"1",544,322,1200,"1","0","1","4",1200,0,0,1200,1,0,2,0,3,1,"2",6,"6",0,"0","1",1995,"2",2,521,"5","5","2",0,26,0,0,0,0,"0","0","0",0,8,2007,"8","4",177500
